<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-9.23,1,20230912,124900,94703.0000000,94708.0000000,94668.0000000,94687.0000000,1902
SPFB.Si-9.23,1,20230912,125000,94686.0000000,94705.0000000,94680.0000000,94703.0000000,1455
SPFB.Si-9.23,1,20230912,125100,94704.0000000,94710.0000000,94693.0000000,94694.0000000,488
SPFB.Si-9.23,1,20230912,125200,94696.0000000,94703.0000000,94687.0000000,94690.0000000,494
SPFB.Si-9.23,1,20230912,125300,94695.0000000,94701.0000000,94690.0000000,94691.0000000,439
SPFB.Si-9.23,1,20230912,125400,94690.0000000,94713.0000000,94680.0000000,94702.0000000,2751
SPFB.Si-9.23,1,20230912,125500,94702.0000000,94719.0000000,94701.0000000,94717.0000000,574
SPFB.Si-9.23,1,20230912,125600,94717.0000000,94746.0000000,94717.0000000,94735.0000000,2253
SPFB.Si-9.23,1,20230912,125700,94738.0000000,94747.0000000,94712.0000000,94731.0000000,992
SPFB.Si-9.23,1,20230912,125800,94725.0000000,94738.0000000,94681.0000000,94695.0000000,2004
SPFB.Si-9.23,1,20230912,125900,94696.0000000,94721.0000000,94690.0000000,94707.0000000,1734
SPFB.Si-9.23,1,20230912,130000,94707.0000000,94712.0000000,94680.0000000,94694.0000000,2490
SPFB.Si-9.23,1,20230912,130100,94694.0000000,94698.0000000,94680.0000000,94682.0000000,830
SPFB.Si-9.23,1,20230912,130200,94682.0000000,94695.0000000,94680.0000000,94693.0000000,779
SPFB.Si-9.23,1,20230912,130300,94692.0000000,94697.0000000,94680.0000000,94682.0000000,528
SPFB.Si-9.23,1,20230912,130400,94685.0000000,94689.0000000,94680.0000000,94686.0000000,888
SPFB.Si-9.23,1,20230912,130500,94687.0000000,94730.0000000,94681.0000000,94727.0000000,1478
SPFB.Si-9.23,1,20230912,130600,94727.0000000,94743.0000000,94714.0000000,94743.0000000,1064
SPFB.Si-9.23,1,20230912,130700,94743.0000000,94743.0000000,94712.0000000,94739.0000000,686
